Marca temporal,Fecha,Usted es:,Región,U.E. Región Sur,U.E. Región Este,U.E. Región Oeste,U.E. Región Norte,RAP,U.E (UNIFICADO),La comunicación entre mi sector de trabajo con el Equipo de Gestión es buena.,La comunicación con mi jefe inmediato es buena.,La comunicación con mis compañeros de trabajo de sector es buena.,"El jefe de mi sector escucha mis ideas, aportes y sugerencias para mejorar el trabajo.",Estoy  debidamente informado sobre las tareas y responsabilidades necesarias para el desempeño de mis funciones.,Siento que el jefe de mi sector me trata con respeto.,Siento que mis compañeros me tratan con respeto.,En general considero que me llevo bien con mis compañeros.,Confio en mis compañeros.,En mi sector de trabajo se incentiva el trabajo en equipo.,Cuando tengo problemas con mi trabajo puedo contar con mis compañeros y/o con el jefe del sector.,En mi sector de trabajo están bien definidas las tareas y roles de cada uno.,Me siento motivado y satisfecho con el desempeño de mis tareas.,Me siento reconocido y valorado por mis jefes en el desempeño de mis funciones.,Siento que el jefe de mi sector me orienta sobre cómo percibe mi desempeño en el trabajo y me da pautas para mejorar.,Valoro muy positivamente la instancia taller del día de hoy con la Unidad de Mediación y Convivencia.,Servicio/Área,Nombre completo,Celular de contacto
18/6/2026 9:12:04,,Médico,Región Sur,Hospital Central,,,,,,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,Emergencia,,
18/6/2026 9:15:47,,No médico,Región Sur,Hospital Central,,,,,,Neutro,De acuerdo,Neutro,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,Neutro,,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,emergencia,,
18/6/2026 9:21:33,,No médico,Región Sur,Hospital Central,,,,,,En desacuerdo,De acuerdo,En desacuerdo,Neutro,En desacuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,En desacuerdo,En desacuerdo,Neutro,De acuerdo,Neutro,De acuerdo,De acuerdo,Emergencia adultos,Persona Ejemplo 1,099 000 001
18/6/2026 9:28:10,,Médico,Región Sur,Hospital Central,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,EMERGENCIA,,
18/6/2026 9:33:52,,No médico,Región Sur,Hospital Central,,,,,,Neutro,Neutro,De acuerdo,Neutro,Neutro,En desacuerdo,De acuerdo,Neutro,De acuerdo,Neutro,Neutro,En desacuerdo,Neutro,De acuerdo,En desacuerdo,En desacuerdo,Emergencia de adulto,,
18/6/2026 9:41:19,,No médico,Región Sur,Hospital Central,,,,,,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,Neutro,De acuerdo,Emergencia,,
2/7/2026 14:03:27,,Médico,Región Sur,Hospital Central,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Laboratorio,,
2/7/2026 14:07:55,,No médico,Región Sur,Hospital Central,,,,,,De acuerdo,Neutro,De acuerdo,Neutro,De acuerdo,Neutro,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,laboratorio,,
2/7/2026 14:12:41,,No médico,Región Sur,Hospital Central,,,,,,Neutro,De acuerdo,En desacuerdo,Neutro,Neutro,En desacuerdo,De acuerdo,Neutro,De acuerdo,Neutro,En desacuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,Neutro,Laboratorio/ pediatría,,
2/7/2026 14:19:08,,No médico,Región Sur,Hospital Central,,,,,,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Laboratorio,,
18/6/2026 11:02:36,,Médico,Región Sur,Hospital del Norte,,,,,,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,Neutro,Neutro,De acuerdo,Block Quirúrgico,,
18/6/2026 11:09:14,,No médico,Región Sur,Hospital del Norte,,,,,,En desacuerdo,Neutro,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Neutro,En desacuerdo,Neutro,En desacuerdo,Neutro,En desacuerdo,Neutro,De acuerdo,En desacuerdo,,Block Quirurgico,Persona Ejemplo 2,099 000 002
18/6/2026 11:15:58,,No médico,Región Sur,Hospital del Norte,,,,,,Neutro,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Block Quirúrgico,,
18/6/2026 11:22:31,,Médico,Región Sur,Hospital del Norte,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutro,De acuerdo,Block Quirúrgico,,
